stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,
8220DB000147,147,Tolka Bridge,,53.37248,-6.265831,,,,
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,
8220DB000149,149,Tolka Bridge,,53.373139,-6.265985,,,,
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,
8220DB000151,151,Botanic Gardens,,53.3719552600192,-6.26929382771155,,,,
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,
8220DB000154,154,Cremore Avenue,,53.377259,-6.275557,,,,
8220DB000155,155,Old Finglas Road,,53.37792,-6.27951,,,,
8220DB000156,156,Northland Grove,,53.378623,-6.281665,,,,
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,
8220DB000158,158,Griffith Road,,53.381482,-6.283564,,,,
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,
8220DB000163,163,Ferndale Avenue,,53.387151,-6.279637,,,,
8220DB000170,170,Ferndale Avenue,,53.386966,-6.279269,,,,
8220DB000173,173,Glasnamana Place,,53.382122,-6.280547,,,,
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,
8220DB000175,175,Northland Grove,,53.378424,-6.281568,,,,
8220DB000176,176,Old Finglas Road,,53.378032,-6.279299,,,,
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,
8220DB000178,178,Ballygall Road East,,53.38189,-6.276347,,,,
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,
8220DB000180,180,Cremore Crescent,,53.37844,-6.276396,,,,
8220DB000181,181,Cremore Avenue,,53.37715,-6.274224,,,,
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,
8220DB000183,183,Botanic Gardens,,53.372316,-6.268753,,,,
8220DB000184,184,Fairfield Road,,53.369704,-6.268979,,,,
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000191,191,Western Way,,53.3550179485755,-6.26903378050291,,,,
8220DB000192,192,Mountjoy Street,,53.356397,-6.268077,,,,
8220DB000193,193,Clune Road,,53.3911963059787,-6.29410403487394,,,,
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,
8220DB000197,197,Monck Place,,53.358953,-6.273231,,,,
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,
8220DB000199,199,Munster Street,,53.363622,-6.272291,,,,
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,
8220DB000202,202,Fairfield Road,,53.37008,-6.268904,,,,
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,
8220DB000206,206,Larkhill Road,,53.383546,-6.247477,,,,
8220DB000207,207,Larkhill Road,,53.384822,-6.249875,,,,
8220DB000208,208,Glendun Road,,53.3866539303158,-6.24795040815756,,,,
8220DB000209,209,Larkhill Road,,53.387271,-6.24591,,,,
8220DB000210,210,Crestfield Road,,53.387594,-6.248318,,,,
8220DB000211,211,Falcarragh Road,,53.384281,-6.24916,,,,
8220DB000212,212,Larkhill Road,,53.383196,-6.246258,,,,
8220DB000213,213,Iveragh Road,,53.38145,-6.244872,,,,
8220DB000214,214,Plunket College,,53.379408,-6.246655,,,,
8220DB000215,215,Whitehall Cross,,53.381872,-6.242449,,,,
8220DB000216,216,Yellow Road,,53.382331,-6.238191,,,,
8220DB000217,217,Grace Park Court,,53.384324,-6.236801,,,,
8220DB000218,218,Shantalla Road,,53.385924,-6.233788,,,,
